asin,asin_description,amazon_url,division,taxonomy,product,start_date,onhand_units,start_date_pred,forecast_mean,forecast_p70,forecast_p80,forecast_p90,po_request_date,po_quantity,lead_time_days
ASIN_6222AE,MLB A S PRL/WHT NEO CHRM BTG,https://www.amazon.com/dp/B0BL8LTD28,Baseball,Gloves,Batting Glove,2026-08-31,16,2026-12-14,2,1,2,3,,,
ASIN_07C065,Y XS KNKR WHT BSBL PANT BULK,https://www.amazon.com/dp/B00CI4OZBG,Baseball,Apparel,Pant,2026-08-31,2934,2027-04-05,229,271,344,573,2026-09-05,20,16.084124802002083
ASIN_278D34,MLB Y L BLK/BLK DIGITEK BTG PR,https://www.amazon.com/dp/B072KR83N1,Baseball,Gloves,Batting Glove,2026-08-31,203,2027-05-31,19,18,23,32,,,
ASIN_A16E5C,"9.5"" GRPHT/PNK BBG W/BALL FR",https://www.amazon.com/dp/B00WAESUGA,Baseball,Fielding Gloves,Glove & Ball,2026-08-31,152,2026-10-19,16,16,18,26,2026-09-04,5,12.757792247608172
ASIN_30E3B5,MLB SFTSTRK CHRM BAL 12PC BULK,https://www.amazon.com/dp/B09SFKPLD9,Baseball,Balls,Teeball,2026-08-31,145,2026-10-26,3,4,6,8,,,
ASIN_96BD69,MLB A BASEBALL BELT ORANGE,,Baseball,Apparel,Belt,2026-08-31,32,2027-04-12,9,13,18,21,2026-09-10,10,15.682207776142027
ASIN_620A74,"9.5"" GRAPHITE/PNK PVC BBG REG",https://www.amazon.com/dp/B013LPROJ0,Baseball,Fielding Gloves,Baseball Glove,2026-08-31,46,2027-05-03,6,7,12,14,,,
ASIN_C708DA,MLB A S GRY/NVY CFX PRO BTG,https://www.amazon.com/dp/B006DOIJHI,Baseball,Gloves,Batting Glove,2026-08-31,1,2027-04-12,4,5,7,9,2026-09-09,12,12.70840070357809
ASIN_B6AACD,MLB A M WHT/BLK DIGITEK BTG PR,https://www.amazon.com/dp/B013LPV5T0,Baseball,Gloves,Batting Glove,2026-08-31,23,2027-07-19,18,22,26,33,2026-09-09,14,12.914876587692111
ASIN_8E2294,MLB A XL WHT/CHRM AW BTG,https://www.amazon.com/dp/B0BL8J9GNC,Baseball,Gloves,Batting Glove,2026-08-31,10,2027-05-10,1,1,1,2,,,
ASIN_8188C6,Y L RED ACRYLIC BSBL SOCK PR,https://www.amazon.com/dp/B00CI4OKGG,Baseball,Apparel,Socks,2026-08-31,1251,2026-12-21,29,32,46,56,2026-09-04,30,17.732806769590795
ASIN_0A4ED2,MLB A XL CFX MINT HI-LITE BTG,https://www.amazon.com/dp/B07XT5Y2D1,Baseball,Gloves,Batting Glove,2026-08-31,92,2027-02-15,5,7,7,9,,,
ASIN_DFDCAD,MLB A L NVY/NVY NAT HI-LTE BTG,,Baseball,Gloves,Batting Glove,2026-08-31,38,2027-05-03,1,3,3,4,,,
ASIN_17519B,USA BB VENOM 1300 26/13 RED,,Baseball,Bats,Bat,2026-08-31,123,2026-10-26,12,12,15,17,2026-09-05,5,14.269377615636582
ASIN_7C4C95,MLB A XL CFX PRT WHT/GLD BTG,,Baseball,Gloves,Batting Glove,2026-08-31,14,2027-05-10,1,1,2,3,,,
ASIN_62F0C3,A PRT HAND GUARD LG RYL HILITE,,Baseball,Protective Gear,Hand Protective,2026-08-31,27,2027-06-14,3,5,5,7,,,
ASIN_2FEC3F,Y XL GREY BASEBALL PANTS BULK,https://www.amazon.com/dp/B00NDIUCQI,Baseball,Apparel,Pant,2026-08-31,1152,2026-09-14,257,272,423,451,2026-09-03,37,14.795445968792732
ASIN_C217A1,"10.0"" BWN/CAMEL PIG BBG REG",https://www.amazon.com/dp/B07WZWQN1Z,Baseball,Fielding Gloves,Baseball Glove,2026-08-31,565,2026-10-26,11,19,17,26,,,
ASIN_4C70B9,"9.5"" BLK/GLD MESH BBG W/BAL",https://www.amazon.com/dp/B07X21X27Y,Baseball,Fielding Gloves,Glove & Ball,2026-08-31,576,2026-10-19,72,94,114,123,2026-09-03,27,11.286235390034271
ASIN_AD4163,MLB A XL COLD MAX BTG,https://www.amazon.com/dp/B07CKZ4TSL,Baseball,Gloves,Batting Glove,2026-08-31,23,2027-05-24,1,1,1,1,,,
ASIN_A8C25C,MLB A XL WHT PRO CLSC GOLD BTG,https://www.amazon.com/dp/B0BL8K6B1J,Baseball,Gloves,Batting Glove,2026-08-31,23,2026-09-28,2,3,3,5,2026-09-09,4,15.506119547118482
ASIN_014DB3,Y M KNKR WHT BSBL PANT BULK,https://www.amazon.com/dp/B00CI4JOIA,Baseball,Apparel,Pant,2026-08-31,3336,2026-12-14,89,133,133,179,2026-09-09,431,16.13031785702216
ASIN_20F561,MLB Y M CFX PNK/GRNAPL HI-LITE,,Baseball,Gloves,Batting Glove,,,2026-12-07,9,13,16,22,2026-09-04,12,15.057573958957585
ASIN_BA7AAF,Y XL PRL/BLK SELECT JR GOLF RH,https://www.amazon.com/dp/B09PSBTZBC,Baseball,Gloves,Sport Glove,,,2027-03-08,0,0,1,1,,,
ASIN_CE64F4,Y L PRL/BLK SELECT JR GOLF RH,https://www.amazon.com/dp/B09PSCQT1V,Baseball,Gloves,Sport Glove,2026-08-31,1,2027-02-01,0,0,1,1,,,
ASIN_877536,MLB Y L PNK CBL PS INF BTG PR,,Baseball,Gloves,Batting Glove,,,2027-03-01,5,6,8,13,2026-09-11,5,15.79413779806456
ASIN_F1A5A5,A S/M MINT ARM SLEEVE PR,,Baseball,Apparel,Sleeve,2026-08-31,10,,,,,,,,
ASIN_8FF065,MLB T M WHT/N.PNK G2P BTG,,Baseball,Gloves,Batting Glove,2026-08-31,222,2026-10-26,16,16,19,25,2026-09-11,8,14.666895988485022
ASIN_03E80C,MLB T XS WHT/N.PNK G2P BTG,,Baseball,Gloves,Batting Glove,2026-08-31,123,2027-01-18,13,16,20,24,2026-09-04,4,17.925887286467155
ASIN_86AEB1,MLB A L YLW HLT PS INF BTG PR,https://www.amazon.com/dp/B07XNWL4RH,Baseball,Gloves,Batting Glove,2026-08-31,33,2027-07-05,3,4,5,6,2026-09-09,5,14.21704996610577
ASIN_DC0053,MLB Y S WHT/BLK DIGITEK BTG PR,https://www.amazon.com/dp/B013LQBUOY,Baseball,Gloves,Batting Glove,2026-08-31,6,2027-01-25,21,25,31,30,2026-09-03,12,17.544662167785283
ASIN_DF6363,YTH MD SLIDING SHORT OPTIC YEL,https://www.amazon.com/dp/B00G97XHWG,Baseball,Apparel,Sliding Short,2026-08-31,720,2027-03-01,171,207,287,306,,,
ASIN_E938C7,MLB A S WHT/CHRM SHKSORB X BTG,https://www.amazon.com/dp/B07XNYNLFH,Baseball,Gloves,Batting Glove,2026-08-31,168,2026-12-21,9,12,16,15,2026-09-09,14,16.423387258656067
ASIN_82FA60,MLB A L CFX FULL NAVY BTG,https://www.amazon.com/dp/B071Z816QT,Baseball,Gloves,Batting Glove,2026-08-31,102,2026-09-28,10,12,15,17,2026-09-12,4,14.92213155853034
ASIN_140F22,MLB HEAVTY DUTY BATTING TEE,https://www.amazon.com/dp/B01AXYC06E,Baseball,Training Aids,Batting Tee,2026-08-31,2341,2027-02-15,185,220,276,286,2026-09-04,3,14.984189296790758
