asin,asin_description,amazon_url,division,taxonomy,product,start_date,onhand_units,start_date_pred,forecast_mean,forecast_p70,forecast_p80,forecast_p90,po_request_date,po_quantity,lead_time_days
ASIN_A40BA2,MLB Y S VNILA CFX PRO GOLD BTG,,Baseball,Gloves,Batting Glove,2026-08-31,43,2026-10-19,4,6,6,9,2026-09-03,5,10.918242780926489
ASIN_27FEF3,MLB T S BLK/WHT G2P BTG,,Baseball,Gloves,Batting Glove,2026-08-31,127,2027-01-25,11,11,15,21,2026-09-09,20,15.013074054500818
ASIN_9410E1,MLB A S WHT/FGRN DIGTK GLD BTG,https://www.amazon.com/dp/B07XTBBFBB,Baseball,Gloves,Batting Glove,2026-08-31,24,2026-09-21,2,3,3,6,,,
ASIN_03E80C,MLB T XS WHT/N.PNK G2P BTG,,Baseball,Gloves,Batting Glove,2026-08-31,158,2027-04-19,46,54,71,95,2026-09-09,13,12.275617042492499
ASIN_A6BD94,MLB Y M USA DIGITEK BTG PR,https://www.amazon.com/dp/B071KKN2J5,Baseball,Gloves,Batting Glove,2026-08-31,1172,2027-05-10,52,55,70,73,,,
ASIN_E4C13E,Y M RED ACRYLIC BSBL SOCK PR,https://www.amazon.com/dp/B00CI4OE9Y,Baseball,Apparel,Socks,2026-08-31,992,2026-11-16,79,135,135,185,2026-09-10,56,13.21746961096618
ASIN_DC0053,MLB Y S WHT/BLK DIGITEK BTG PR,https://www.amazon.com/dp/B013LQBUOY,Baseball,Gloves,Batting Glove,2026-08-31,6,2027-04-12,93,113,135,184,2026-09-10,8,15.706916978648142
ASIN_FFE95B,MLB Y S BLK/BLK CFX PRO BTG,https://www.amazon.com/dp/B0811THF7K,Baseball,Gloves,Batting Glove,,,2026-11-02,0,0,0,0,,,
ASIN_278D34,MLB Y L BLK/BLK DIGITEK BTG PR,https://www.amazon.com/dp/B072KR83N1,Baseball,Gloves,Batting Glove,2026-08-31,246,2026-09-21,10,12,15,16,,,
ASIN_D4EB3B,"12.0"" PVC FLDMSTR USA BBG REG",https://www.amazon.com/dp/B075RVWTC2,Baseball,Fielding Gloves,Baseball Glove,2026-08-31,1250,2026-08-31,56,69,80,79,,,
ASIN_55A45D,MLB A XL CFX FULL GREY BTG,,Baseball,Gloves,Batting Glove,2026-08-31,97,2027-03-29,17,24,28,38,2026-09-11,4,16.671837785000918
ASIN_E9CBFB,Y S ROYAL ACRYLIC BSBL SOCK PR,https://www.amazon.com/dp/B00CI4OBBA,Baseball,Apparel,Socks,2026-08-31,697,2026-10-05,131,129,221,302,2026-09-11,43,15.443230956207575
ASIN_9E8BA1,MLB 68X48 FYBK LG RTN,https://www.amazon.com/dp/B00GD739KW,Baseball,Training Aids,Pitchback,2026-08-31,1069,2027-03-01,281,246,379,460,2026-09-09,152,13.185224401979058
ASIN_4B715B,Y S PRL/BLK SELECT JR GOLF LH,https://www.amazon.com/dp/B09PSH7QW9,Baseball,Gloves,Sport Glove,2026-08-31,5,2026-08-31,1,1,1,1,,,
ASIN_9E8BA1,MLB 68X48 FYBK LG RTN,https://www.amazon.com/dp/B00GD739KW,Baseball,Training Aids,Pitchback,2026-08-31,1078,2027-05-03,325,329,433,542,2026-09-09,164,14.16907063113508
ASIN_338B35,MLB DLX PRO SUNGLASSES BLK,,Baseball,Eyewear,Sunglasses,2026-08-31,104,2027-04-05,32,37,43,70,2026-09-09,9,15.163687427290263
ASIN_EE3591,MLB 2-IN-1 SWTCH HTR RTRN TGT,https://www.amazon.com/dp/B00O9ZRVZE,Baseball,Training Aids,Pitchback,2026-08-31,2333,2027-02-01,283,271,482,539,2026-09-22,5520,33.38450287102193
ASIN_478050,MLB DELUXE GLOVE LACING KIT,https://www.amazon.com/dp/B0010FUG5I,Baseball,General Accessories,Accessory,2026-08-31,402,2027-06-21,70,95,93,136,2026-09-09,30,14.471529279484507
ASIN_A414F9,"MLB 24"" PITCHER RUBBER W/STAKE",https://www.amazon.com/dp/B013LPRASK,Baseball,Training Aids,Base Set,2026-08-31,429,2026-11-23,28,38,44,50,2026-09-11,22,17.96692993539053
ASIN_FF3AB7,MLB Y S CFX PNK/GRNAPL HI-LITE,,Baseball,Gloves,Batting Glove,,,2026-11-30,7,9,11,20,2026-09-10,11,15.213892657544381
ASIN_2464BA,JUNIOR EQUIPMENT BAG NAVY,https://www.amazon.com/dp/B0069JD78I,Baseball,Bags,Equipment Bag,2026-08-31,373,2026-09-07,11,14,18,24,,,
ASIN_68B983,SFIA A XXL BLK HI-TK REC GLV,https://www.amazon.com/dp/B07DNQXHDC,Baseball,Gloves,Sport Glove,2026-08-31,6,2027-03-29,1,3,4,5,2026-09-05,4,14.080813204007443
ASIN_02692B,MLB BASEBALL BELT NAVY,https://www.amazon.com/dp/B006A1VKWK,Baseball,Apparel,Belt,2026-08-31,1830,2027-05-03,320,334,491,519,2026-09-09,10,15.583281492871421
ASIN_8FCC35,A PRT HAND GUARD LG BLK/GLD,,Baseball,Protective Gear,Hand Protective,2026-08-31,224,2027-03-29,39,62,55,68,2026-09-09,65,12.8465536360958
ASIN_447CDB,"8.0"" STKTEK BLK/OYLW BBG W/BAL",https://www.amazon.com/dp/B07XK2NVYY,Baseball,Fielding Gloves,Glove & Ball,2026-08-31,446,2026-11-02,46,53,77,80,2026-09-11,16,16.45781745825489
ASIN_CDECEE,MLB Y M PRL/WHT PRO CLSC BTG,https://www.amazon.com/dp/B013LPU3KC,Baseball,Gloves,Batting Glove,2026-08-31,37,2026-09-28,1,1,1,2,,,
ASIN_6C378D,MLB Y M BLK/BLK DIGITEK BTG PR,https://www.amazon.com/dp/B072NCN2SJ,Baseball,Gloves,Batting Glove,2026-08-31,233,2026-09-07,12,14,18,19,2026-09-10,4,15.169809375327107
ASIN_EFE4AC,"MLB 17"" HI VIZ RUBBER PLATE",https://www.amazon.com/dp/B00O9ZS9I2,Baseball,Training Aids,Base Set,2026-08-31,620,2026-10-26,24,30,38,45,,,
ASIN_140339,MLB A BASEBALL BELT RED,,Baseball,Apparel,Belt,2026-08-31,264,2027-05-24,29,33,55,70,,,
ASIN_9D207F,MLB Y L WHT/WHT 2ND SKINZ BTG,https://www.amazon.com/dp/B07GJQ9WBZ,Baseball,Gloves,Batting Glove,2026-08-31,95,2026-08-31,9,10,11,12,2026-09-09,20,15.444868127769663
ASIN_C89E44,"9.5"" NVY/RED DIGI BBG REG W/BA",https://www.amazon.com/dp/B075RVW4KP,Baseball,Fielding Gloves,Glove & Ball,2026-08-31,0,2026-09-14,3,5,7,8,2026-09-05,4,15.741351287144179
ASIN_BFCBAA,"13.0"" CML/BRN CTZ5000 BBG REG",,Baseball,Fielding Gloves,Baseball Glove,2026-08-31,25,2027-07-26,2,1,3,5,,,
